Smiles,Tg
[*]O[Si](CC)(CC)[*],-143.15
[*][Si](C)(C)O[*],-121.15
[*]C/C=C\C[*],-102.15
[*][Si](C)(C)C[*],-100.15
[*][Si](C)(C1=CC=CC=C1)O[*],-86.15
[*]OC(COCCCCCC)C[*],-85.15
[*]OCCCC[*],-83.15
[*][Si](C)(C)N[*],-82.15
[*]CC(CCCC)=CC[*],-81.15
[*]CC(OCCCCCCCC)[*],-79.15
[*]OC(COCCCC)C[*],-79.15
[*]CC[*],-78.15
[*]CCCO[*],-78.15
[*]CC(CCC)=CC[*],-77.15
[*]CC(CC)=CC[*],-76.15
[*]CC(OCCCCCCCCCC)[*],-76.15
[*]CC(C)(C)[*],-74.15
[*][Si](C)(CCC(F)(F)F)O[*],-74.15
[*][Si](C)(C)CCC[*],-70.15
[*]CC=C(C)C[*],-70.15
[*]CCCCCCCCO[*],-70.15
[*]CCCCCCO[*],-69.15
[*]CCCCOC(=O)CCCCC(=O)O[*],-68.15
[*]CC(C)O[*],-67.15
[*]OCC[*],-67.15
[*]CC(OCC(CC)CCCC)[*],-66.15
[*]CC(OCCCCC)[*],-66.15
[*]CC(C(=O)OCCCCCCCC)[*],-65.15
[*]CC(OCCCCCC)[*],-64.15
[*]OC(COC)C[*],-62.15
[*]C(C=CC)C[*],-60.15
[*]CC(C(=O)OCCCCCCC)[*],-60.15
[*]OCCCCCC(=O)[*],-60.15
[*]CC(C(=O)OCCCCCCCCC)[*],-58.15
[*]CC(C(=O)OCCCCCC)[*],-57.15
[*]CCCCCCCCCCOC(=O)CCCCC(=O)O[*],-56.15
[*]CC(C)(C(=O)OCCCCCCCCCCCC)[*],-55.15
[*]OC[*],-55.15
[*]CC(C(=O)OCCCC)[*],-54.15
[*]CC(CCCCC)[*],-53.15
[*]CCC(C)CCC(=O)O[*],-53.15
[*]CC(C(C)C)=CC[*],-52.15
[*]CC(OCCCC)[*],-52.15
[*]CC(CCC)[*],-50.15
[*]CC(CCCC)[*],-50.15
[*]CC=C(Cl)C[*],-48.15
[*]SC(C)C[*],-47.15
[*]CC(CC)[*],-45.15
[*]CC(C(=O)OC(C)CCCCCC)[*],-45.15
[*]CCOC(=O)CCCCCCCC(=O)O[*],-45.15
[*]CC(C(=O)OCCC)[*],-44.15
[*]CC(C)[*],-40.15
[*]CCOC(=O)CCCCC(=O)O[*],-40.15
[*]CC(F)(F)[*],-40.15
[*]CC(C(=O)OC(C)CCCCC)[*],-38.15
[*]CC(CCCC(C)C)[*],-34.15
[*]CC(Br)=CC[*],-32.15
[*][Si](C)(C1=CC=CC=C1)CCC[*],-30.15
[*]CCOC(=O)CCCCCCCCC(=O)O[*],-30.15
[*]CC(C(=O)OCC(C)C)[*],-24.15
[*]CC(OCC(C)C)[*],-22.15
[*]CC(C(=O)OCC)[*],-22.15
C(C)(CC)OC(C[*])[*],-20.15
[*]CC(C)(C(=O)OCCCCCCCC)[*],-20.15
[*]CC(C(=O)OC(C)CC)[*],-20.15
[*]CC(OCC)[*],-19.15
[*]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(=NC(C(F)(F)C(F)(F)OC(F)(F)F)=NC([*])=N1),-18.15
[*]CC(Cl)(Cl)[*],-17.15
[*]CC(C(=O)OC(CC)CC)[*],-16.15
[*]CC(CCC(C)C)[*],-14.15
[*]C(F)(C(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C1(=NC(C(F)(F)F)=NC([*])=N1),-13.15
[*]CC(CCl)(CCl)CO[*],-8.15
[*][Si](C)(C1=CC=C(N(C)C)C=C1)CCC[*],-6.15
[*]CC(C)(C(=O)OCCCCCC)[*],-5.15
[*]CC(C=C)[*],-4.15
[*]CC(OC(C)C)[*],-3.15
[*]CC(SC)[*],-1.15
[*]OCCOC(=O)CCC(=O)[*],-1.15
